symbol,name,currency,summary,category_group,category,family,exchange,mic
HU0000715925.BD,K&H INVESTMENT FUN,HUF,,,,,BUD,XBUD
HU0000716568.BD,KHGYERMEK1,HUF,,,,,BUD,XBUD
HU0000716972.BD,MKB FUND MANAGEMEN,HUF,,,,,BUD,XBUD
HU0000717020.BD,KHPRGOND1,HUF,,,,,BUD,XBUD
HU0000717319.BD,MKBHOZAMD,HUF,,,,,BUD,XBUD
HU0000717467.BD,KHGYOGYVC1,HUF,,,,,BUD,XBUD
HU0000717657.BD,MKBBESZHOZ,HUF,,,,,BUD,XBUD
HU0000717780.BD,K&H INVESTMENT FUN,HUF,,,,,BUD,XBUD
HU0000717905.BD,MKBEHOZAM,HUF,,,,,BUD,XBUD
HU0000717962.BD,K&H FUND MGMT PLC,HUF,,,,,BUD,XBUD
HU0000717970.BD,K&H FUND MGMT PLC,HUF,,,,,BUD,XBUD
HU0000718234.BD,OTP INVESTMENT FUN,HUF,,,,,BUD,XBUD
HU0000718515.BD,K&H FUND MGMT PLC,HUF,,,,,BUD,XBUD
HU0000718648.BD,OTP INVESTMENT FUN,HUF,,,,,BUD,XBUD
HU0000718713.BD,K&H FUND MGMT PLC,HUF,,,,,BUD,XBUD
HU0000718721.BD,KHPRRAAD1,HUF,,,,,BUD,XBUD
HU0000718796.BD,OTPSZINER14,HUF,,,,,BUD,XBUD
HU0000718887.BD,KHPRGYOGY4,HUF,,,,,BUD,XBUD
HU0000718952.BD,KHGENVALL1,HUF,,,,,BUD,XBUD
HU0000719000.BD,OTPREALAP3,HUF,,,,,BUD,XBUD
HU0000719018.BD,OTP INVESTMENT FUN,HUF,,,,,BUD,XBUD
HU0000719083.BD,K&H FUND MGMT PLC,HUF,,Financials,,,BUD,XBUD
HU0000719141.BD,OTP INVESTMENT FUN,HUF,,Financials,,,BUD,XBUD
HU0000719224.BD,KHEURTRUG1,HUF,,Financials,,,BUD,XBUD
HU0000719497.BD,K&H FUND MGMT PLC,HUF,,Financials,,,BUD,XBUD
HU0000719729.BD,K&H FUND MGMT PLC,HUF,,Financials,,,BUD,XBUD
HU0000719737.BD,K&H FUND MGMT PLC,HUF,,Financials,,,BUD,XBUD
HU0000719984.BD,K&H FUND MGMT PLC,HUF,,Financials,,,BUD,XBUD
HU0000720495.BD,KHPREBRUG1,HUF,,Financials,,,BUD,XBUD
HU0000720933.BD,K&H FUND MGMT PLC,HUF,,Financials,,,BUD,XBUD
HU0000721386.BD,K&H FUND MGMT PLC,HUF,,Financials,,,BUD,XBUD
HU0000721733.BD,K&H FUND MGMT PLC,HUF,,Financials,,,BUD,XBUD
HU0000722095.BD,KHEBRUG2,HUF,,Financials,,,BUD,XBUD
HU0000722269.BD,KHTVNKCS7,HUF,,Financials,,,BUD,XBUD
HU0000722509.BD,K&H TELEKOMMUNIKAC,HUF,,Financials,,,BUD,XBUD
HU0000722947.BD,KHTELERUG2,HUF,,Financials,,,BUD,XBUD
HU0000723408.BD,KHNKCS8,HUF,,Financials,,,BUD,XBUD
HU0000723523.BD,KHTELERUG3,HUF,,Financials,,,BUD,XBUD
HU0000724059.BD,KHNKCS9,HUF,,Financials,,,BUD,XBUD
HU0000724612.BD,KHEBRUG3,HUF,,Financials,,,BUD,XBUD
